iter	Logloss
0	0.6542547103
1	0.6221413055
2	0.5950008493
3	0.5714827442
4	0.5522649909
5	0.5352811805
6	0.5211857661
7	0.5084655165
8	0.4981352053
9	0.4889803545
10	0.4814073885
11	0.4730350552
12	0.4653077635
13	0.4593212433
14	0.4538264411
15	0.4491997461
16	0.443900971
17	0.4390672371
18	0.4345644218
19	0.4301150543
20	0.4271867499
21	0.4242047038
22	0.4213357088
23	0.4190786693
24	0.416237609
25	0.4134892849
26	0.4108159982
27	0.408767494
28	0.4070515369
29	0.4057688613
30	0.4042089614
31	0.4025866248
32	0.4010887033
33	0.3998829663
34	0.3982255793
35	0.3972291335
36	0.3959107792
37	0.3945794554
38	0.3934815994
39	0.392495663
40	0.3917971312
41	0.3910925544
42	0.3896844314
43	0.3890477488
44	0.3879857965
45	0.3873029758
46	0.3862827327
47	0.3856793692
48	0.3850640451
49	0.3841999111
50	0.3837006942
51	0.3831389187
52	0.3824535727
53	0.3821826507
54	0.3817342314
55	0.3815647346
56	0.3808946755
57	0.3804675514
58	0.3801961716
59	0.3800028451
60	0.3797008461
61	0.3794070045
62	0.3790375671
63	0.3784024756
64	0.3780209713
65	0.377779974
66	0.3775166156
67	0.3770169358
68	0.3767872667
69	0.3764584656
70	0.3762051715
71	0.3760202356
72	0.3757545842
73	0.3754685979
74	0.3753309546
75	0.3750951326
76	0.3749332354
77	0.3747586131
78	0.3743793398
79	0.3742581353
80	0.3740789273
81	0.3737788994
82	0.3735030098
83	0.3733624915
84	0.373109143
85	0.3729671402
86	0.3728811006
87	0.3726779955
88	0.3723998775
89	0.3720573493
90	0.3717815095
91	0.3715685936
92	0.3715169793
93	0.3714266897
94	0.371258912
95	0.3711218001
96	0.3709235014
97	0.3706190886
98	0.3704934066
99	0.3702495598
