iter	Passed	Remaining
0	5	1002
1	9	936
2	13	902
3	18	910
4	23	902
5	27	886
6	31	876
7	36	873
8	40	864
9	44	854
10	49	847
11	53	839
12	57	832
13	62	824
14	66	819
15	70	814
16	75	808
17	78	798
18	83	793
19	87	787
20	91	782
21	96	779
22	100	774
23	104	765
24	108	758
25	112	753
26	116	748
27	121	744
28	125	740
29	129	736
30	133	729
31	137	723
32	142	720
33	147	721
34	152	718
35	157	717
36	161	712
37	166	708
38	170	703
39	174	699
40	179	694
41	183	690
42	187	685
43	192	681
44	196	677
45	200	671
46	205	667
47	209	662
48	213	656
49	217	651
50	221	647
51	226	643
52	230	640
53	235	636
54	239	631
55	243	627
56	247	621
57	251	616
58	256	611
59	259	606
60	263	601
61	268	597
62	272	591
63	275	586
64	280	583
65	286	581
66	291	578
67	296	576
68	301	572
69	305	567
70	310	563
71	314	558
72	318	554
73	322	549
74	326	544
75	330	539
76	334	534
77	338	529
78	342	524
79	346	519
80	350	514
81	354	510
82	358	505
83	362	500
84	366	495
85	370	491
86	374	486
87	378	482
88	383	477
89	387	473
90	391	469
91	395	464
92	399	460
93	404	456
94	408	451
95	413	447
96	417	443
97	422	439
98	427	435
99	432	432
100	437	428
101	441	423
102	445	419
103	449	414
104	454	411
105	458	406
106	462	402
107	466	397
108	471	393
109	475	389
110	479	384
111	483	380
112	487	375
113	491	370
114	495	366
115	500	362
116	504	357
117	508	353
118	512	349
119	517	344
120	521	340
121	524	335
122	529	331
123	533	326
124	537	322
125	541	318
126	546	313
127	549	309
128	553	304
129	558	300
130	563	296
131	568	292
132	573	288
133	578	284
134	582	280
135	586	276
136	591	272
137	595	267
138	599	263
139	603	258
140	607	254
141	612	250
142	615	245
143	619	241
144	624	236
145	628	232
146	632	228
147	636	223
148	640	219
149	643	214
150	647	210
151	652	205
152	656	201
153	660	197
154	664	193
155	669	188
156	673	184
157	677	180
158	681	175
159	685	171
160	689	167
161	693	162
162	698	158
163	703	154
164	707	150
165	712	145
166	717	141
167	722	137
168	726	133
169	730	128
170	735	124
171	738	120
172	742	115
173	747	111
174	751	107
175	755	102
176	759	98
177	763	94
178	767	90
179	771	85
180	776	81
181	781	77
182	786	73
183	791	68
184	795	64
185	798	60
186	802	55
187	807	51
188	811	47
189	815	42
190	820	38
191	824	34
192	828	30
193	831	25
194	836	21
195	841	17
196	846	12
197	850	8
198	855	4
199	859	0
