Model,Fraction,Size,Accuracy,F1,ROC-AUC
Logistic Reg,0.25,5387,0.74,0.743,0.845
Logistic Reg,0.5,10775,0.74,0.743,0.846
Logistic Reg,0.75,16163,0.741,0.744,0.845
Logistic Reg,1.0,21551,0.742,0.745,0.845
Random Forest,0.25,5387,0.701,0.713,0.789
Random Forest,0.5,10775,0.69,0.706,0.783
Random Forest,0.75,16163,0.699,0.714,0.787
Random Forest,1.0,21551,0.694,0.709,0.785
KNN,0.25,5387,0.712,0.722,0.79
KNN,0.5,10775,0.71,0.72,0.785
KNN,0.75,16163,0.707,0.718,0.785
KNN,1.0,21551,0.709,0.72,0.787
Neural Network,0.25,5387,0.714,0.727,0.813
Neural Network,0.5,10775,0.722,0.724,0.825
Neural Network,0.75,16163,0.742,0.761,0.834
Neural Network,1.0,21551,0.743,0.766,0.833
XGBoost,0.25,5387,0.714,0.725,0.807
XGBoost,0.5,10775,0.725,0.735,0.821
XGBoost,0.75,16163,0.734,0.746,0.824
XGBoost,1.0,21551,0.739,0.754,0.831
LightGBM,0.25,5387,0.736,0.75,0.826
LightGBM,0.5,10775,0.743,0.759,0.837
LightGBM,0.75,16163,0.746,0.763,0.838
LightGBM,1.0,21551,0.748,0.764,0.842
CatBoost,0.25,5387,0.738,0.75,0.832
CatBoost,0.5,10775,0.745,0.76,0.838
CatBoost,0.75,16163,0.749,0.766,0.839
CatBoost,1.0,21551,0.749,0.767,0.841
